arxiv_id,title,abstract,authors,year,date,categories,primary_category,journal,doi,url,source,paper_id,citations,topic_id,cluster,sentiment,research_methods,astro_objects,key_phrases,is_outlier,paper_age,citations_per_year
2510.08125v1,Noncommutative Regge-Wheeler potential: some nonperturbative results,"We study the gravitational perturbation theory of black holes in noncommutative spacetimes with noncommutativity of the type $[t\stackrel{\star}{,} r] = i a \alpha A(r)$ and $[\varphi \stackrel{\star}{,} r] = i a \beta A(r)$ for arbitrary $A(r)$, which includes several Moyal-type spaces and also the $\kappa$-Minkowski space. The main result of this paper is an analytical expression for the effective potential of the axial perturbation modes, valid to all orders in the noncommutativity parameter. This is achieved by evaluating the $\star$-products using translations in the radial direction, i.e., Bopp shift. We comment on various regimes, such as Planck-scale black holes, where the noncommutativity length scale is of the same order of magnitude as the black hole horizon.","Nikola Herceg, Tajron Jurić, A. Naveena Kumara et al.",2025,2025-10-09,"['gr-qc', 'hep-th']",gr-qc,arXiv,,https://arxiv.org/abs/2510.08125v1,arXiv,2510.08125v1,16,-1,0,0.5,['theoretical'],"['star', 'black_hole']","[('black holes', 0.19425717247145283), ('stackrel star', 0.19425717247145283), ('varphi stackrel star', 0.09712858623572641), ('paper analytical', 0.09712858623572641), ('evaluating star products', 0.09712858623572641)]",False,0,16.0
2510.08111v1,Evaluating LLM-Generated Legal Explanations for Regulatory Compliance in   Social Media Influencer Marketing,"The rise of influencer marketing has blurred boundaries between organic content and sponsored content, making the enforcement of legal rules relating to transparency challenging. Effective regulation requires applying legal knowledge with a clear purpose and reason, yet current detection methods of undisclosed sponsored content generally lack legal grounding or operate as opaque ""black boxes"". Using 1,143 Instagram posts, we compare gpt-5-nano and gemini-2.5-flash-lite under three prompting strategies with controlled levels of legal knowledge provided. Both models perform strongly in classifying content as sponsored or not (F1 up to 0.93), though performance drops by over 10 points on ambiguous cases. We further develop a taxonomy of reasoning errors, showing frequent citation omissions (28.57%), unclear references (20.71%), and hidden ads exhibiting the highest miscue rate (28.57%). While adding regulatory text to the prompt improves explanation quality, it does not consistently improve detection accuracy. The contribution of this paper is threefold. First, it makes a novel addition to regulatory compliance technology by providing a taxonomy of common errors in LLM-generated legal reasoning to evaluate whether automated moderation is not only accurate but also legally robust, thereby advancing the transparent detection of influencer marketing content. Second, it features an original dataset of LLM explanations annotated by two students who were trained in influencer marketing law. Third, it combines quantitative and qualitative evaluation strategies for LLM explanations and critically reflects on how these findings can support advertising regulatory bodies in automating moderation processes on a solid legal foundation.","Haoyang Gui, Thales Bertaglia, Taylor Annabell et al.",2025,2025-10-09,"['cs.CL', 'cs.CY']",cs.CL,arXiv,,https://arxiv.org/abs/2510.08111v1,arXiv,2510.08111v1,18,-1,5,0.75,['theoretical'],[],"[('influencer marketing', 0.33567254331867563), ('llm generated', 0.16783627165933782), ('regulatory compliance', 0.16783627165933782), ('28 57', 0.16783627165933782), ('content sponsored', 0.16783627165933782)]",False,0,18.0
2510.08105v1,The influence of the mean anomaly on the dynamical quantities of binary   black hole mergers in eccentric orbits,"In studies of binary black hole (BBH) mergers in eccentric orbits, the mean anomaly, traditionally regarded as less significant than eccentricity, has been thought to encode only the orbital phase, leading to the assumption that it exerts minimal influence on the dynamics of eccentric mergers. In a previous investigation, we identified consistent oscillations in dynamical quantities peak luminosity $L_{\text{peak}}$, remnant mass $M_{\text{rem}}$, spin $\alpha_{\text{rem}}$, and recoil velocity $V_{\text{rem}}$ in relation to the initial eccentricity $e_0$. These oscillations are associated with integer orbital cycles within a phenomenological framework. In this paper, we aim to explore the underlying physical nature of these oscillations through gravitational waveforms. Our examination of remnant mass and spin reveals that while the initial ADM mass $M_{\mathrm{ADM}}$ and orbital angular momentum $L_0$ exhibit gradual variations with $e_0$, the radiated energy $E_{\text{rad}}$ and angular momentum $L_{\text{rad}}$ display oscillatory patterns akin to those observed in $M_{\text{rem}}$ and $\alpha_{\text{rem}}$. By decomposing the waveforms into three distinct phases inspiral, late inspiral to merger, and ringdown, we demonstrate that these oscillations persist across all phases, suggesting a common origin. Through a comparative analysis of $E_{\text{rad}}$ and $L_{\text{rad}}$ derived from numerical relativity (NR), post-Newtonian (PN) waveforms, and orbital-averaged PN fluxes during the inspiral phase, we identify the initial mean anomaly $l_0$ as the source of the observed oscillations. ...","Hao Wang, Bin Liu, Yuan-Chuan Zou et al.",2025,2025-10-09,"['gr-qc', 'astro-ph.HE']",gr-qc,"Phys. Rev. D 112, 084019 (2025)",10.1103/k88f-kn8v,https://arxiv.org/abs/2510.08105v1,arXiv,2510.08105v1,20,-1,0,1.0,"['observational', 'computational']",['black_hole'],"[('text rem', 0.34836650714580886), ('text rad', 0.2786932057166471), ('mean anomaly', 0.2090199042874853), ('l_ text', 0.2090199042874853), ('m_ text rem', 0.13934660285832354)]",False,0,20.0
2510.08100v1,Enhanced Optical Kerr Effect in Metasurfaces Featuring Arrays of Rotated   Rectangular Holes via Trapped-Mode Resonances,"Recent advances in nanophotonics have demonstrated that various optical resonances in nanostructures can achieve strong field confinement with substantially suppressed scattering. This study investigates the optical Kerr effect (OKE) enhancement in high-refractive-index metasurfaces featuring non-BIC trapped-mode resonances, using gallium phosphide (GaP) as a model material. Three-dimensional finite-difference time-domain simulations reveal a significant enhancement of the effective second-order refractive index, reaching values up to 700 times greater than bulk GaP. The numerical results show strong electromagnetic field localization at the trapped-mode resonance, characterized by a wide transmittance dip (low Q-factor) and near-unity reflectance. Remarkable stability is observed, with the OKE enhancement maintaining less than 5\% variation for moderate polarization angles and tolerating random nanohole rotations that model fabrication imperfections. Compared to bound states in the continuum (BIC), the non-BIC trapped mode demonstrates superior robustness to structural disorder while achieving comparable nonlinear enhancement. These findings suggest promising applications in reflective nonlinear optics, particularly for high harmonic generation and polarization-insensitive photonic devices.",Andrey V. Panov,2025,2025-10-09,"['physics.optics', 'physics.app-ph']",physics.optics,"Opt. Lett. 50 (18), 5849-5852 (2025)",10.1364/OL.569837,https://arxiv.org/abs/2510.08100v1,arXiv,2510.08100v1,20,-1,3,1.0,"['observational', 'theoretical', 'computational']",[],"[('trapped mode', 0.32551538350846376), ('optical kerr effect', 0.16275769175423188), ('oke enhancement', 0.16275769175423188), ('non bic', 0.16275769175423188), ('optical kerr', 0.16275769175423188)]",False,0,20.0
2510.08081v1,AutoQual: An LLM Agent for Automated Discovery of Interpretable Features   for Review Quality Assessment,"Ranking online reviews by their intrinsic quality is a critical task for e-commerce platforms and information services, impacting user experience and business outcomes. However, quality is a domain-dependent and dynamic concept, making its assessment a formidable challenge. Traditional methods relying on hand-crafted features are unscalable across domains and fail to adapt to evolving content patterns, while modern deep learning approaches often produce black-box models that lack interpretability and may prioritize semantics over quality. To address these challenges, we propose AutoQual, an LLM-based agent framework that automates the discovery of interpretable features. While demonstrated on review quality assessment, AutoQual is designed as a general framework for transforming tacit knowledge embedded in data into explicit, computable features. It mimics a human research process, iteratively generating feature hypotheses through reflection, operationalizing them via autonomous tool implementation, and accumulating experience in a persistent memory. We deploy our method on a large-scale online platform with a billion-level user base. Large-scale A/B testing confirms its effectiveness, increasing average reviews viewed per user by 0.79% and the conversion rate of review readers by 0.27%.","Xiaochong Lan, Jie Feng, Yinxing Liu et al.",2025,2025-10-09,"['cs.AI', 'cs.CL']",cs.AI,arXiv,,https://arxiv.org/abs/2510.08081v1,arXiv,2510.08081v1,21,-1,4,0.0,['theoretical'],[],"[('autoqual llm', 0.1796053020267749), ('discovery interpretable', 0.1796053020267749), ('discovery interpretable features', 0.1796053020267749), ('review quality assessment', 0.1796053020267749), ('review quality', 0.1796053020267749)]",False,0,21.0
2510.08067v1,Towards Real-World Deepfake Detection: A Diverse In-the-wild Dataset of   Forgery Faces,"Deepfakes, leveraging advanced AIGC (Artificial Intelligence-Generated Content) techniques, create hyper-realistic synthetic images and videos of human faces, posing a significant threat to the authenticity of social media. While this real-world threat is increasingly prevalent, existing academic evaluations and benchmarks for detecting deepfake forgery often fall short to achieve effective application for their lack of specificity, limited deepfake diversity, restricted manipulation techniques.To address these limitations, we introduce RedFace (Real-world-oriented Deepfake Face), a specialized facial deepfake dataset, comprising over 60,000 forged images and 1,000 manipulated videos derived from authentic facial features, to bridge the gap between academic evaluations and real-world necessity. Unlike prior benchmarks, which typically rely on academic methods to generate deepfakes, RedFace utilizes 9 commercial online platforms to integrate the latest deepfake technologies found ""in the wild"", effectively simulating real-world black-box scenarios.Moreover, RedFace's deepfakes are synthesized using bespoke algorithms, allowing it to capture diverse and evolving methods used by real-world deepfake creators. Extensive experimental results on RedFace (including cross-domain, intra-domain, and real-world social network dissemination simulations) verify the limited practicality of existing deepfake detection schemes against real-world applications. We further perform a detailed analysis of the RedFace dataset, elucidating the reason of its impact on detection performance compared to conventional datasets. Our dataset is available at: https://github.com/kikyou-220/RedFace.","Junyu Shi, Minghui Li, Junguo Zuo et al.",2025,2025-10-09,['cs.CV'],cs.CV,arXiv,,https://arxiv.org/abs/2510.08067v1,arXiv,2510.08067v1,19,-1,1,0.25,"['theoretical', 'experimental', 'computational']",[],"[('real world', 0.6047431568147635), ('deepfake detection', 0.15118578920369088), ('real world deepfake', 0.15118578920369088), ('world deepfake', 0.15118578920369088), ('academic evaluations', 0.15118578920369088)]",False,0,19.0
2510.08054v1,RetouchLLM: Training-free White-box Image Retouching,"Image retouching not only enhances visual quality but also serves as a means of expressing personal preferences and emotions. However, existing learning-based approaches require large-scale paired data and operate as black boxes, making the retouching process opaque and limiting their adaptability to handle diverse, user- or image-specific adjustments. In this work, we propose RetouchLLM, a training-free white-box image retouching system, which requires no training data and performs interpretable, code-based retouching directly on high-resolution images. Our framework progressively enhances the image in a manner similar to how humans perform multi-step retouching, allowing exploration of diverse adjustment paths. It comprises of two main modules: a visual critic that identifies differences between the input and reference images, and a code generator that produces executable codes. Experiments demonstrate that our approach generalizes well across diverse retouching styles, while natural language-based user interaction enables interpretable and controllable adjustments tailored to user intent.","Moon Ye-Bin, Roy Miles, Tae-Hyun Oh et al.",2025,2025-10-09,['cs.CV'],cs.CV,arXiv,,https://arxiv.org/abs/2510.08054v1,arXiv,2510.08054v1,18,-1,4,0.5,"['experimental', 'computational']",[],"[('image retouching', 0.2553769592276246), ('white box image', 0.17025130615174972), ('retouchllm training free', 0.17025130615174972), ('training free', 0.17025130615174972), ('training free white', 0.17025130615174972)]",False,0,18.0
2510.08014v1,Gate Voltage Tunable Second Harmonic Generation in Mono- and Bi-layer   Black Phosphene,"Black phosphorene (BP) has emerged as a promising platform for tunable nonlinear photonics due to its layer-dependent bandgap, high carrier mobility, and remarkable in-plane anisotropy. This study investigates the second-harmonic generation (SHG) of monolayer and bilayer BP under an external static electric field, with describing the electronic states by a tight-binding model and the dynamics by semiconductor Bloch equations. Our results reveal that BP exhibits large second-order nonlinear optical response along the armchair direction, with significant resonant enhancement when the incident photon energy approaches half of its bandgap. Under an applied electric field of $10^7$ V/m, the effective second-order nonlinear susceptibility of BP can be as large as $10^3$ pm/V, surpassing that of the conventional nonlinear crystal AgGaSe$_2$ by more than an order of magnitude. With respect to the static electric field induced by gate voltage, we discuss the relation between the electric-field-induced second harmonic (EFISH) generation and conventional SHG -- under lower gate voltage, the EFISH approach agrees well with the SHG solutions, whereas the former is no longer applicable under higher gate voltage. Specifically, as the increasing gate voltage, monolayer BP exhibits the bandgap expansion and the corresponding blue-shift in the SHG resonant peak. In contrast, bilayer BP undergoes a semiconductor-to-semimetal transition, forming Dirac cone and generating divergent SHG spectra as photon energy goes to zero. Additionally, the chemical potential allows for precise control over interband and intraband nonlinear responses. This work provides important theoretical foundations for the development of BP-based tunable nonlinear photonic devices and expands the application potential of anisotropic two-dimensional materials in nonlinear optics.","Yan Meng, Kainan Chang, Yanyan Qian et al.",2025,2025-10-09,['cond-mat.mes-hall'],cond-mat.mes-hall,arXiv,,https://arxiv.org/abs/2510.08014v1,arXiv,2510.08014v1,23,-1,2,1.0,"['theoretical', 'spectroscopic']",[],"[('gate voltage', 0.36661778755338326), ('electric field', 0.2932942300427066), ('second harmonic', 0.21997067253202995), ('second order', 0.1466471150213533), ('order nonlinear', 0.1466471150213533)]",False,0,23.0
2510.08003v1,CIR-CoT: Towards Interpretable Composed Image Retrieval via End-to-End   Chain-of-Thought Reasoning,"Composed Image Retrieval (CIR), which aims to find a target image from a reference image and a modification text, presents the core challenge of performing unified reasoning across visual and semantic modalities. While current approaches based on Vision-Language Models (VLMs, e.g., CLIP) and more recent Multimodal Large Language Models (MLLMs, e.g., Qwen-VL) have shown progress, they predominantly function as ``black boxes."" This inherent opacity not only prevents users from understanding the retrieval rationale but also restricts the models' ability to follow complex, fine-grained instructions. To overcome these limitations, we introduce CIR-CoT, the first end-to-end retrieval-oriented MLLM designed to integrate explicit Chain-of-Thought (CoT) reasoning. By compelling the model to first generate an interpretable reasoning chain, CIR-CoT enhances its ability to capture crucial cross-modal interactions, leading to more accurate retrieval while making its decision process transparent. Since existing datasets like FashionIQ and CIRR lack the necessary reasoning data, a key contribution of our work is the creation of structured CoT annotations using a three-stage process involving a caption, reasoning, and conclusion. Our model is then fine-tuned to produce this structured output before encoding its final retrieval intent into a dedicated embedding. Comprehensive experiments show that CIR-CoT achieves highly competitive performance on in-domain datasets (FashionIQ, CIRR) and demonstrates remarkable generalization on the out-of-domain CIRCO dataset, establishing a new path toward more effective and trustworthy retrieval systems.","Weihuang Lin, Yiwei Ma, Jiayi Ji et al.",2025,2025-10-09,['cs.CV'],cs.CV,arXiv,,https://arxiv.org/abs/2510.08003v1,arXiv,2510.08003v1,17,-1,4,0.25,"['theoretical', 'experimental']",[],"[('cir cot', 0.34299717028501764), ('language models', 0.17149858514250882), ('chain thought', 0.17149858514250882), ('composed image', 0.17149858514250882), ('composed image retrieval', 0.17149858514250882)]",False,0,17.0
2510.07982v1,Hot-carrier generation in bimetallic Janus nanoparticles,"Energetic electrons and holes generated from the decay of localized surface plasmons in metallic nanoparticles can be harnessed in nanoscale devices for photocatalysis, photovoltaics or sensing. In this work, we study the generation of such hot carriers in bimetallic Janus nanoparticles composed of Au, Ag and Cu using a recently developed atomistic modelling approach that combines a solution of the macroscopic Maxwell equation with large-scale quantum-mechanical tight-binding models. We first analyze spherical Janus nanoparticles whose unique hot-carrier spectrum can be associated with the spectra of the two hemispheres and the interface coupling and find that under solar illumination the Ag-Au system exhibits the highest hot-carrier generation rate. For dumbbell-shaped Janus nanoparticles, we observe a significant increase in hot-carrier generation with increasing neck size. This is caused by a dramatic enhancement of the electric field in the neck region. We also study the dependence of hot-carrier generation on the light polarization and find that the largest generation rates are obtained when the electric field is perpendicular to the interface between the two metals due to the maximal dipole coupling with the electric field. The insights from our study will guide the experimental design of efficient hot-carrier devices based on bimetallic Janus nanoparticles.","Hanwen Jin, Chengcheng Xiao, Matias Herran et al.",2025,2025-10-09,"['physics.optics', 'cond-mat.mtrl-sci']",physics.optics,arXiv,,https://arxiv.org/abs/2510.07982v1,arXiv,2510.07982v1,19,-1,0,1.0,"['theoretical', 'experimental', 'spectroscopic']",[],"[('hot carrier', 0.411113225896519), ('janus nanoparticles', 0.34259435491376583), ('carrier generation', 0.27407548393101266), ('hot carrier generation', 0.27407548393101266), ('bimetallic janus', 0.2055566129482595)]",False,0,19.0
2510.07973v1,Magnetic-Field Control of Tomonaga-Luttinger Liquids in Ta2Pd3Te5 Edge   States,"Ta2Pd3Te5 is a quasi-one-dimensional transition-metal telluride whose heavy atoms endow the material with strong spin-orbit coupling, while the Fermi level inside the bulk gap makes the low-energy electronic structure highly tunable.Theory and early experiments have already identified a wealth of emergent phases in this platform: an excitonic insulator driven by electron-hole binding, a second-order topological insulator protected by crystalline symmetry, a potential topological-protected quantum-spin-Hall edge, and proximity-induced edge supercurrents when coupled to a conventional s-wave superconductor. These properties make it a promising platform for hosting Majorana zero modes and quantum computation, provided that time-reversal symmetry can be broken by a Zeeman gap. In this work, we demonstrate that the one-dimensional edge channels of exfoliated Ta2Pd3Te5 host a robust and tunable Tomonaga-Luttinger liquid by electrostatic gating because it shifts the chemical potential across the bulk gap without changing the gap size. More importantly, the application of a magnetic field introduces a Zeeman gap that systematically increases the TLL power-law exponent alpha. Furthermore, rotating the field reveals a pronounced twofold anisotropy--alpha is maximal for a field parallel to the edge and minimal for a perpendicular orientation--originating from an orientation-dependent edge g-factor that is likely amplified by quantum-confinement-induced orbital-angular-moment quenching. The existence of gate-tunable edge supercurrents together with the field-controlled Zeeman gap provides a direct route to break time-reversal symmetry in a particle-hole-symmetric superconducting gap and thus to engineer a topological superconducting phase, paving the way towards Majorana-based quantum devices.","Xingchen Guo Anqi Wang, Xiutong Deng, Yupeng Li et al.",2025,2025-10-09,"['cond-mat.mes-hall', 'cond-mat.mtrl-sci']",cond-mat.mes-hall,arXiv,,https://arxiv.org/abs/2510.07973v1,arXiv,2510.07973v1,21,-1,2,1.0,"['theoretical', 'experimental']",[],"[('zeeman gap', 0.26413527189768715), ('tomonaga luttinger', 0.17609018126512477), ('reversal symmetry', 0.17609018126512477), ('time reversal symmetry', 0.17609018126512477), ('time reversal', 0.17609018126512477)]",True,0,21.0
2510.07954v1,Newly scalarization of the Einstein-Euler-Heisenberg black hole,"Th spontaneous scalarization of the Einstein-Euler-Heisenberg (EEH) black hole is performed in the EEH-scalar theory by introducing an exponential scalar coupling (with $\alpha$ coupling constant) to the Maxwell term.Here, the EEH black hole as a blad black hole is described by mass $M$ and magnetic charge $q$ with an action parameter $\mu$. A choice of $\mu=0.3$ gurantees a single horizon with unrestricted magnetic charge $q$. The onset scalarization of this black hole appears for a positive coupling $\alpha$ with an unlimited magnetic charge $q$. However, there exists a difference between $q\le1$ and $q>1$ onset scalarizations. We notify the presence of infinite branches labeled by the number of $n=0,1,2,\cdots$ of scalarized charged black holes by taking into account the scalar seeds around the EEH black hole. We find that the $n=0$ fundamental branch of all scalarized black holes is stable against the radial perturbations, while the $n=1$ excited branch is unstable.","Lina Zhang, De-Cheng Zou, Yun Soo Myung",2025,2025-10-09,['gr-qc'],gr-qc,arXiv,,https://arxiv.org/abs/2510.07954v1,arXiv,2510.07954v1,23,-1,0,0.0,['theoretical'],['black_hole'],"[('black hole', 0.4472135954999579), ('eeh black', 0.22360679774997896), ('magnetic charge', 0.22360679774997896), ('eeh black hole', 0.22360679774997896), ('coupling alpha', 0.14907119849998599)]",False,0,23.0
2510.07952v1,Spin-Orbit Misalignments of Eccentric Black Hole Mergers in AGN Disks,"The disks of active galactic nuclei (AGNs) provide a natural environment where stellar-mass black holes (BHs) can dynamically pair, undergo repeated interactions, and eventually merge. It is commonly assumed that gas accretion will both efficiently spin up disk-embedded black holes and align the orbits of embedded binaries with the disk plane, leading to mergers with preferentially positive effective spin parameters ($\chi_{\mathrm{eff}}$). Such predictions have motivated the use of $\chi_{\mathrm{eff}}$ as a diagnostic for identifying candidate AGN-embedded mergers in the LIGO-Virgo-KAGRA gravitational-wave catalog. In this work, we perform post-Newtonian $N$-body simulations of nearly planar binary-single encounters and apply an empirically motivated, gas-driven alignment prescription to characterize the expected $\chi_{\mathrm{eff}}$-eccentricity correlations of AGN-embedded mergers. By comparing the alignment and gravitational-wave inspiral timescales, we identify the regions of parameter space, across both disk location and binary properties, where full disk-spin-orbit alignment is effective and where it is not. We find that quasi-circular binaries typically align by the time they merge, supporting the standard picture of spin-orbit aligned orientations. By contrast, eccentric binaries (with in-band eccentricity $e_{10\mathrm{Hz}}\gtrsim 0.1$) typically inspiral too quickly for gas torques to act, preserving the post-encounter spin-orbit misalignments and yielding more isotropic $\chi_{\mathrm{eff}}$ distributions when disk densities and torque efficiencies are modest. This interplay naturally establishes a correlation between binary eccentricity and $\chi_{\mathrm{eff}}$ in AGN disks, highlighting a new key observable of the AGN channel and a potential explanation for massive events such as GW190521 and GW231123.","Gaia Fabj, Christopher Tiede, Connar Rowan et al.",2025,2025-10-09,"['astro-ph.HE', 'astro-ph.GA']",astro-ph.HE,arXiv,,https://arxiv.org/abs/2510.07952v1,arXiv,2510.07952v1,16,-1,0,1.0,['theoretical'],"['galaxy', 'star', 'black_hole']","[('chi_ mathrm', 0.34421419541075715), ('chi_ mathrm eff', 0.34421419541075715), ('mathrm eff', 0.34421419541075715), ('spin orbit', 0.2753713563286057), ('embedded mergers', 0.13768567816430285)]",False,0,16.0
2510.07914v1,Effects of magnetic fields on spinning test particles orbiting   Kerr-Bertotti-Robinson black holes,"In this paper, we study the kinematic effects of spinning test particles orbiting the Kerr-Bertotti-Robinson black hole. Employing with the Mathisson-Papapetrou-Dixon equations, we explore the dynamics of precessing orbits and distinct orbital types, including circular orbits and innermost stable circular orbits. Our results reveal the substantial impact of the magnetic field on the trajectories of spinning particles, particularly in regions characterized by significant radial distances. More importantly, our study shows that an augmented magnetic field necessitates an increased orbital angular momentum to uphold spinning particles within their characteristic orbits at equivalent radial distances. Our result contributes valuable insights to the understanding of the spinning celestial object motion around black holes endowed with magnetic fields.","Yu-Kun Zhang, Shao-Wen Wei",2025,2025-10-09,"['gr-qc', 'hep-th']",gr-qc,arXiv,,https://arxiv.org/abs/2510.07914v1,arXiv,2510.07914v1,28,-1,0,1.0,[],['black_hole'],"[('particles orbiting', 0.15961737689352443), ('spinning test particles', 0.15961737689352443), ('particles orbiting kerr', 0.15961737689352443), ('radial distances', 0.15961737689352443), ('orbiting kerr bertotti', 0.15961737689352443)]",False,0,28.0
2510.07863v1,Balanced ternary formalism of second quantization,"We construct a second-quantized representation with a structure of balanced ternary formalism, which involves three substances in organic molecular materials, namely electron, hole and charge-transfer exciton, into a uniform framework. The quantum thermodynamic of excitons is investigated in a closed and compact manner, benefitting from the interplay of the three substances. In order to be friendly with quantum simulations, the interactions among them are all described with unitary transformations. Significantly, the nonconserving dynamics of particle numbers, such as the generation of charge current and the exciton fission in organic semiconductors, is consistently expressed by this unitary formalism on the basis of bosonic coherent states. The spin degree of freedom is further taken into account, and an exotic molecular ferromagnetic ordering is induced in a specific configuration of excitons. This balanced ternary formalism establishes a solid bridge to connect thermodynamics and quantum simulations.",Yao Yao,2025,2025-10-09,"['quant-ph', 'cond-mat.mes-hall']",quant-ph,arXiv,,https://arxiv.org/abs/2510.07863v1,arXiv,2510.07863v1,28,-1,0,1.0,['theoretical'],[],"[('balanced ternary', 0.26620695282483414), ('balanced ternary formalism', 0.26620695282483414), ('ternary formalism', 0.26620695282483414), ('quantum simulations', 0.17747130188322277), ('unitary transformations', 0.08873565094161139)]",False,0,28.0
